"","PAU89988T_6h","PAU89988T_24h","PATU8902_6h","PATU8902_24h","AveExpr","F","P.Value","adj.P.Val"
"ZRANB3",-0.0189242388709157,-0.0909822540564771,0.150373412164531,0.476703338555819,2.67080870457435,2.15768236046668,0.120936248122346,0.38135078335141
"WIPI2",-0.196724920813962,-0.203594600918517,0.00727237276253057,-0.103841007014641,5.18418202170843,2.15740463024274,0.120972348206441,0.38135313281282
"KLC4",0.102597211375764,0.052746575188952,0.264063138483532,0.124733086958639,3.27420232119794,2.15715493250229,0.121004814475925,0.38135313281282
"C17orf49",-0.0144443501816225,-0.222323121253667,0.0564809443360028,-0.170723584355787,5.54990178716254,2.15701939804729,0.121022440908333,0.38135313281282
"DNAJC3-AS1",-0.0311533992716262,-0.0322873773984602,0.0705333488749704,0.375242972856305,1.99468923895525,2.15613507992476,0.121137515612092,0.381516518278327
"ZNF219",-0.214772865536245,-0.224728754683983,0.187863883283642,0.0729689662665223,2.23174568242074,2.15608977019852,0.121143414860397,0.381516518278327
"DDX6",-0.0151512102703926,0.0321166937787067,-0.118298139546425,0.0848894463220029,7.20333302605654,2.15595602450723,0.121160830125655,0.381516518278327
"ANAPC10",0.249236195990645,0.188340585756255,0.025251001274178,0.355680208729976,4.22675575388807,2.15574533092424,0.121188270388956,0.381516518278327
"PLEKHO1",-0.381351109251972,-0.306729833054256,0.135401107606908,0.392255873961369,1.79012890465052,2.155421736506,0.121230427654428,0.381559519479347
"CENPQ",0.164291637220414,0.153212749101638,-0.0363877141106572,0.418086575311772,5.10722386491296,2.1543800346788,0.12136624599511,0.381612914619211
"PRCC",0.0580634360073704,-0.0305388685259054,0.00907671294801204,-0.227050402262176,6.23228432056388,2.15394936391639,0.121422445291106,0.381612914619211
"C1orf53",-0.411273962623477,-0.456584878170459,0.383150404606741,0.134987549419899,2.50122376132682,2.1536621516594,0.121459939924252,0.381612914619211
"C4orf46",0.124289908553456,0.0891788747736442,-0.0763265898276035,0.300836601089119,4.52686542587861,2.15357784456008,0.121470948313519,0.381612914619211
"RAB3GAP2",0.0796167270367549,0.0937965867363975,-0.065176868526021,0.176256299708466,4.75390638867956,2.15343180020744,0.121490020582739,0.381612914619211
"SYCE2",-0.154537570485288,0.277198364955827,0.381568563126303,0.461996218006043,2.34485651762263,2.15343000931164,0.121490254479992,0.381612914619211
"CRYL1",0.0932484424290165,0.073075557016252,0.204668646780551,-0.0956779355411701,3.89893840749089,2.15336945870055,0.121498162887192,0.381612914619211
"MIS18A",-0.0245753931265691,-0.0032322111231835,-0.0662163954087926,0.137148948362714,5.65726420159986,2.15327696003568,0.121510245044128,0.381612914619211
"OXNAD1",0.185317050438988,0.136656974845205,-0.0835042652327389,0.116167628308089,3.85010454470806,2.15313559046711,0.12152871321126,0.381612914619211
"RPL23A",-0.343350471083639,-0.32361284841615,-0.0486881106265766,-0.189778641167266,11.099598230689,2.15289126998578,0.121560637762595,0.381612914619211
"SLC25A39",-0.199689872702041,-0.217522470467356,0.135076018045136,-0.211645075451919,6.00560904291502,2.15260145455268,0.121598518712261,0.381612914619211
"ZFP14",-0.0939735973983279,0.0990456293545054,0.152056744107764,0.463637845959886,1.64112136149535,2.1524188158949,0.12162239742743,0.381612914619211
"ARHGAP29",0.24973965683516,0.20399894193946,0.0217614672114292,0.21814820182998,5.91217503094473,2.1519494856035,0.12168378223772,0.381612914619211
"NOP14",0.277295921379693,0.16184214688252,0.0453051891808176,-0.0802028044215106,6.88810400622457,2.15174735115363,0.121710230165697,0.381612914619211
"RPA2",-0.220653762318329,-0.124689379599944,-0.0353712074465022,-0.0832499806556113,6.44736843713432,2.1515677277553,0.121733737874576,0.381612914619211
"ATP1A1",-0.127690746390591,-0.138594298891887,-0.0227570869177285,-0.197365209156653,7.91142021828433,2.15117367911066,0.12178532503418,0.381612914619211
"MAT2B",-0.146413190640737,-0.0671645148499405,-0.0952296926441338,0.108802213861829,6.77223259619585,2.15086002525652,0.121826404096327,0.381612914619211
"CASP10",-0.0982218821801017,0.376216961463464,0.0151865717720048,0.338022146422135,1.39347745365797,2.15071834188023,0.12184496518253,0.381612914619211
"RPRD1A",0.0564402053168207,0.0664011915881835,-0.141109383925242,0.0996266858378654,5.38115932583919,2.15052518651535,0.12187027421482,0.381612914619211
"SNORA18",2.27310672790495,2.79226827023832,0.636523518922106,3.51752360993285,5.16661658028884,2.15046366627825,0.121878336364612,0.381612914619211
"SH3BP1",-0.217885530177246,-0.179822664464062,0.155688576629654,-0.209134131804579,3.07094244350564,2.15041551856027,0.121884646463605,0.381612914619211
